식품명,에너지(kcal)
도넛_베이크드 헤이즐넛 쇼콜라넛,435
도넛_보스톤크림 도넛,364
도넛_생도넛,496
도넛_생도넛,450
도넛_소금우유 도넛,460
도넛_소보로만난 앙넛,391
도넛_솔티카라멜바이츠 도넛,392
도넛_송사부 꽈배기,382
도넛_슈거코티드 도넛,444
도넛_스노우링 도넛,420
도넛_시나몬슈가링 도넛,420
도넛_아몬드초코링 도넛,468
도넛_엄마랑장볼때먹던그때그도나쓰,322
도넛_옛날왕슈크림 도넛,326
도넛_오리지널 글레이즈드 도넛,428
도넛_오리지널 바이츠 도넛,436
도넛_오리지널 우유 크림 필드 도넛,403
도넛_오리지널 초콜릿 필드 도넛,456
도넛_옥수수꽈배기 도넛,404
도넛_옥수수찹쌀 도넛,332
도넛_올드훼션드먼치킨,471
도넛_올리브츄이스티 도넛,404
도넛_왕크림 도넛,335
도넛_요거트올드훼션드 도넛,457
도넛_우유크림 듬뿍 도넛,395
도넛_쫄깃한 왕꽈배기,373
도넛_쫄깃한찹쌀 도넛,340
도넛_쫄깃한찹쌀스틱 시나몬,400
도넛_찹쌀꽈배기도너츠,462
도넛_찹쌀 꽈배기,366
도넛_찹쌀도너츠,380
도넛_찹쌀 도넛,336
도넛_찹쌀 도넛,333
도넛_찹쌀페스츄리 도넛,427
도넛_초코 와플넛 도넛,437
도넛_초코마카롱 도넛,413
도넛_초코베리듀얼하트 도넛,330
도넛_초코홀릭 도넛,489
도넛_초콜릿 아이스드 글레이즈드 도넛,441
도넛_카라멜 아이스드 도넛,372
도넛_카스테라크림 꽈배기,308
도넛_카카오후로스티드 도넛,413
도넛_카푸치노츄이스티 도넛,406
도넛_케익꽈배기 도넛,376
도넛_켈로그우유 도넛,458
도넛_쿠키&다크초코링도넛,473
도넛_쿠키&화이트초코링도넛,473
도넛_크로넛 글레이즈드 도넛,455
도넛_크림치즈 찹쌀도넛 (2개입),359
도넛_크림치즈 찹쌀도넛,364
도넛_통밀꽈배기,422
도넛_트위스트 글레이즈드 도넛,380
도넛_팥도넛,323
도넛_팥이팅 소보루 도넛,321
도넛_페이머스 글레이즈드 도넛,433
도넛_프리미엄 스트로베리 필드 도넛,361
도넛_해피버스데이 도넛,458
도넛_허니후리터,449
도넛_화이트초코링 도넛,462
도넛_화이트초코츄잉스타 도넛,444
도넛_흑미찹쌀 도넛,350
도넛_BEURRE 헤이즐넛&바닐라 도넛,451
도넛_BEURRE 버터넛,425
도넛_남해마늘로만든버터갈릭 꽈배기,420
도넛_단팥 도넛,310
도넛_달콤한 우리찹쌀 왕꽈배기,378
도넛_더블카라멜 도넛,362
도넛_동글아기찹쌀 도넛,357
도넛_디어 마이 러브 도넛,458
도넛_딸기 도넛,404
도넛_라즈베리블라썸 도넛,338
도넛_레드벨벳 먼치킨 도넛,486
도넛_레몬 도넛,404
도넛_메이플링 도넛,478
도넛_바닐라 도넛,404
도넛_바닐라빈 바이츠 도넛,404
도넛_바닐라초코볼 도넛,326
도넛_바바리안 먼치킨 도넛,400
도넛_바바리안필드 도넛,378
도넛_바삭64겹 꽈배기,443
도넛_벨지안초코 도넛,418
도넛_생크림폭탄 도넛,364
도넛_생크림폭탄 도넛 (3개입),364
도넛_스트로베리 먼치킨 도넛,380
도넛_스트로베리 필드 도넛,372
도넛_아침햇살 쌀꽈배기 도넛,375
도넛_앙버터 도넛,408
도넛_용감한 쿠키 도넛,446
도넛_우리찹쌀 왕꽈배기,383
도넛_우유 도넛,404
도넛_제주말차 우유 도넛,453
도넛_쫀드칸꽈배기 시나몬슈가,385
도넛_쫀득 크림치즈 찹쌀 도넛,423
도넛_초당옥수수크림찹쌀 도넛,300
도넛_초코 도넛,404
도넛_초코 마카롱 도넛,418
도넛_초코 우유크림 듬뿍 도넛,415
도넛_초코크런치 도넛,400
도넛_추억의 옥수수 꽈배기 도넛,407
도넛_추억의생도나스,429
도넛_추억의생도나스 (2개입),426
도넛_추억의생도나스 (3개입),427
도넛_츄러스 꽈배기,363
도넛_카스텔라 꽈배기,312
도넛_카카오하니딥 도넛,393
도넛_카카오하니딥먼치킨 도넛,369
도넛_커스터드 도넛,325
도넛_콘포테이 토넛,288
도넛_쿠키앤크림 도넛,404
도넛_크리스탈슈가 도넛,367
도넛_트러플 크림 듬뿍 도넛,410
도넛_퐁신퐁신우유 도넛,348
도넛_플라밍고 도넛,405
도넛_허니 올드훼션드 도넛,457
도넛_허니찹쌀스틱,355
도넛_화이트유니버스 도넛,392
도넛_흑미고구마찹쌀 도넛,350
도넛_흑임자크림찹쌀 도넛,314
또띠아_뉴비프 브리또,253
또띠아_또띠아 (L),234
또띠아_또띠아 (S),375
또띠아_머스타드치킨 브리또,244
또띠아_미트살사소시지 브리또,220
또띠아_바삭 불고기&트리플 치즈 치킨 퀘사디아,218
또띠아_불고기 브리또,299
또띠아_불고기 베이크,196
또띠아_불닭 베이크,198
또띠아_소고기 브리또,263
또띠아_치킨 치즈 브리또,259
또띠아_핫치킨 브리또,228
또띠아_핫치킨 브리또,244
또띠아_핫칠리치킨 브리또,214
또띠아_라구듬뿍치즈 브리또,211
또띠아_불고기 브리또,216
또띠아_치킨 브리또,220
또띠아_트위스터,202
롤빵_달콤한크림치즈시나몬롤,374
롤빵_클래식시나몬롤,375
롤빵_녹차 도쿄롤 (L),330
롤빵_녹차 도쿄롤 (S),330
롤빵_달달연유롤빵,402
롤빵_달달연유롤빵 (3개입),399
롤빵_망고 도쿄롤 (L),293
롤빵_망고 도쿄롤 (S),293
롤빵_목장의아침우유롤,317
롤빵_오리지널 도쿄롤 (L),328
롤빵_오리지널 도쿄롤 (S),328
롤빵_우유 생크림롤,306
롤빵_자색 고구마 도쿄롤 (L),315
롤빵_자색 고구마 도쿄롤 (S),315
롤빵_카멜크림롤,402
롤빵_화이트 초코 도쿄롤 (L),337
롤빵_화이트 초코 도쿄롤 (S),337
마늘빵_부드러운갈릭브레드,327
마늘빵_프렌치마늘빵,357
마늘빵_프렌치마늘빵 (5개입),352
마카롱_갤럭시 마카롱,236
마카롱_까망베르 치즈 마카롱,354
마카롱_녹차 마카롱,490
마카롱_녹차모찌 마카롱,377
